customer_id,gender,age
457724,F,17
73819,F,17
729158,F,17
746585,F,17
759046,F,17
963940,F,17
363774,F,17
763901,F,17
268736,F,17
19175,F,17
589848,F,17
893636,F,17
950245,F,17
981782,F,17
178928,F,17
485602,F,17
218545,F,17
329840,F,17
502313,F,18
302796,F,18
564535,F,18
173897,F,18
779998,F,18
239261,F,18
405742,F,18
118841,F,18
669467,F,18
508649,F,18
437269,F,18
347386,F,18
717876,F,18
510534,F,18
284025,F,18
592231,F,18
821469,F,18
51493,F,18
279160,F,18
645818,F,18
786821,F,18
616879,F,18
900481,F,18
207445,F,18
908567,F,18
348070,F,18
837411,F,18
101014,F,19
324021,F,19
391717,F,19
957720,F,19
989540,F,19
794346,F,19
48334,F,19
202756,F,19
397073,F,19
473450,F,19
486784,F,19
923671,F,19
758634,F,19
409158,F,19
55509,F,19
827850,F,19
723136,F,19
399816,F,19
929583,F,19
466899,F,19
797767,F,19
885706,F,19
825776,F,19
729046,F,19
142987,F,19
402195,F,19
193054,F,19
469372,F,19
507134,F,19
540240,F,19
439927,F,19
969971,F,19
812514,F,19
511924,F,19
392423,F,19
800962,F,19
333802,F,19
140136,F,19
407062,F,19
92550,F,19
332080,F,19
863358,F,19
754307,F,19
96713,F,19
678121,F,19
287251,F,19
922212,F,19
338171,F,19
960377,F,19
421770,F,20
879959,F,20
638779,F,20
48230,F,20
961480,F,20
161810,F,20
848502,F,20
837587,F,20
839106,F,20
980664,F,20
747062,F,20
499364,F,20
476867,F,20
631854,F,20
940042,F,20
77095,F,20
906637,F,20
596691,F,20
117662,F,20
816645,F,20
710616,F,20
228800,F,20
60874,F,20
690998,F,20
109138,F,20
55680,F,20
622644,F,20
496547,F,20
183057,F,20
502531,F,20
171839,F,20
26459,F,20
534303,F,20
240754,F,20
169150,F,20
23657,F,20
690425,F,20
933230,F,20
609943,F,20
102148,F,20
703267,F,20
572098,F,20
597189,F,20
763829,F,20
239867,F,20
831414,F,20
324490,F,20
426278,F,20
951229,F,20
880658,F,20
428770,F,20
50086,F,20
244202,F,20
108375,F,20
382950,F,20
310649,F,20
158926,F,20
930210,F,20
732284,F,20
590599,F,20
552428,F,20
570547,F,20
596614,F,20
586384,F,20
338692,F,20
683463,F,20
67097,F,20
738566,F,20
517772,F,20
290897,F,20
446338,F,20
708405,F,20
478864,F,20
497333,F,21
385617,F,21
417532,F,21
362907,F,21
990337,F,21
923138,F,21
204836,F,21
763376,F,21
393585,F,21
140110,F,21
219400,F,21
825186,F,21
931278,F,21
664458,F,21
358434,F,21
74982,F,21
567495,F,21
680668,F,21
499664,F,21
815106,F,21
49070,F,21
974992,F,21
369170,F,21
695758,F,21
126431,F,21
390987,F,21
575345,F,21
732605,F,21
287299,F,21
262040,F,21
959791,F,21
538844,F,21
367577,F,21
907485,F,21
657041,F,21
262027,F,21
430919,F,21
663146,F,21
696940,F,21
60981,F,21
535064,F,21
982148,F,21
340697,F,21
740571,F,21
532446,F,21
804798,F,21
